id,name,category,country,mcc_code
1,Lyft #440 (JP),Transport,JP,4121
2,ATM - Citi Central (NL),ATM Withdrawal,NL,6011
3,Pizza Run Central (AU),Fast Food,AU,5814
4,Metro Card North (JP),Public Transit,JP,4111
5,NationalGas #911 (TR),Utilities,TR,4900
6,GymPro Plaza (SE),Health/Fitness,SE,7997
7,Chicken King Online (PL),Fast Food,PL,5814
8,Daily Grind Central (UA),Coffee Shops,UA,5814
9,QuickBite #935 (AU),Fast Food,AU,5814
10,FitClub Express (FR),Health/Fitness,FR,7997
11,Spice Route #219 (SE),Restaurants,SE,5812
12,City University Bookstore Online (JP),Education,JP,8220
13,Spotify #11 (SG),Streaming,SG,5815
14,CityTransit Plaza (US),Public Transit,US,4111
15,Pizza Run South (SG),Fast Food,SG,5814
16,Orange South (PL),Telecom,PL,4814
17,AirGlobal Central (ES),Travel - Airlines,ES,4511
18,Olive Branch South (DE),Restaurants,DE,5812
19,Hometown Grocery North (MX),Groceries,MX,5411
20,Modern Wear Online (CA),Clothing,CA,5651
21,ATM - Citi Express (MX),ATM Withdrawal,MX,6011
22,Kyivstar Central (AU),Telecom,AU,4814
23,ATM - Barclays Online (TR),ATM Withdrawal,TR,6011
24,ATM - Local Bank Plaza (ZA),ATM Withdrawal,ZA,6011
25,Petrol Plus Online (ES),Fuel,ES,5541
26,Amazon South (SG),Online Retail,SG,5942
27,Burger House North (UA),Restaurants,UA,5812
28,Orange Downtown (NL),Telecom,NL,4814
29,Spice Route Plaza (US),Restaurants,US,5812
30,Modern Wear Express (AE),Clothing,AE,5651
31,MovieMax South (SE),Entertainment,SE,7832
32,Shopify Store South (JP),Online Retail,JP,5942
33,Digital Den Downtown (IN),Electronics,IN,5732
34,Vodafone North (UA),Telecom,UA,4814
35,Aero Express #708 (ES),Travel - Airlines,ES,4511
36,Disney+ Central (AE),Streaming,AE,5815
37,AllShield Online (CA),Insurance,CA,6300
38,AliExpress Plaza (DE),Online Retail,DE,5942
39,Espresso Lab #174 (IT),Coffee Shops,IT,5814
40,The Hungry Fork North (BR),Restaurants,BR,5812
41,Udemy Central (IN),Education,IN,8220
42,Taco Loco #944 (UA),Fast Food,UA,5814
43,StyleCo Central (GB),Clothing,GB,5651
44,NationalGas North (UA),Utilities,UA,4900
